number,Height,Width,Length
1,0.222,0.082,0.176
2,0.434,0.097,0.2
3,0.308,0.098,0.271
4,0.486,0.069,0.381
5,0.366,0.145,0.274
6,0.401,0.24,0.249
7,0.484,0.135,0.284
8,0.375,0.241,0.324
9,0.404,0.234,0.307
10,0.398,0.116,0.296
11,0.364,0.146,0.277
12,0.371,0.134,0.273
13,0.392,0.218,0.294
14,0.391,0.182,0.325
15,0.337,0.204,0.284
16,0.331,0.158,0.269
17,0.463,0.258,0.402
18,0.324,0.081,0.241
19,0.417,0.227,0.294
20,0.388,0.269,0.373
21,0.343,0.191,0.336
22,0.49,0.207,0.304
23,0.357,0.206,0.329
24,0.383,0.199,0.305
25,0.471,0.233,0.409
26,0.473,0.25,0.287
